item,freq
唐尧客,1
朱晦,1
林珝,1
卫叶,1
李季华,1
王玄,1
李归唐,1
顾甄远,1
魏峦,1
柳明献,1
令狐挺,1
夏侯子云,1
方愚,1
潘雍,1
梁陟,1
朱延,1
寇埴,1
冯渚,1
王约,1
郭求,1
郑师贞,1
陶拱,1
刘gL,1
朱华,1
戴察,1
孙顾,1
陈璀,1
裴杞,1
陈祜,1
吴秘,1
张复元,1
王景中,1
邓倚,1
汤洙,1
殷琮,1
朱延龄,1
裴元,1
杜周士,1
乐伸,1
徐至,1
纥干讽,1
朱休,1
成崿,1
夏侯楚,1
胡权,1
郭邕,1
张钦敬,1
叔孙玄观,1
王季友2,1
南巨川,1
丁居晦,1
辛宏,1
康翊仁,1
陈中师,1
管雄甫,1
邓陟,1
吕价,1
苑gT,1
罗泰,1
崔藩,1
李勋,1
赵铎,1
徐元鼎,1
吕炅,1
刘公兴,1
王卓,1
石倚,1
叶元良,1
裴大章,1
崔宗,1
郑馥,1
吴叔达,1
孟翱,1
郑昉,1
袁求贤,1
孟匡明,1
李子昂,1
李胄,1
郑述诚,1
宋迪,1
万俟造,1
郑衮,1
张公乂,1
张何,1
濮阳瓘,1
王若岩,1
徐仁嗣,1
卢征,1
顾伟,1
沈鹏,1
薛少殷,1
张元正,1
辛学士,1
郑仆射,1
郑中丞,1
梁补阙,1
吴公,1
曹生,1
缪氏子,1
京兆韦氏子,1
景龙文馆士,1
神龙从臣,1
天宝时人,1
僖宗北省官,1
洪州将军,1
贞元文士,1
元和举子,1
懿宗朝举子,1
白衫举子,1
唐末朝士,1
西鄙人,1
太上隐者,1
黄山隐,1
婺州山中人,1
同谷子,1
崔公佐客,1
江陵士子,1
吏部选人,1
建业卜者,1
天峤游人,1
骊山游人,1
衡州舟子,1
华山老人,1
终南山翁,1
李景俭,1
安守范,1
武后宫人,1
开元宫人,1
德宗宫人,1
宣宗宫人,1
僖宗宫人,1
李玉箫,1
金真德,1
宝历宫人,1
杨容华,1
魏氏,1
乔氏,1
七岁女子,1
林氏,1
赵氏1,1
郭绍兰,1
王氏,1
裴淑,1
杨德麟,1
崔氏,1
陈玉兰,1
薛媛,1
张立本女,1
侯氏,1
慎氏,1
薛瑶,1
任氏,1
蒋氏,1
周仲美,1
程洛宾,1
红绡妓,1
崔紫云,1
赵氏3,1
崔素娥,1
严续姬,1
裴羽仙,1
刘淑柔,1
薛琼,1
赵虚舟,1
长孙佐转妻,1
刘元载妻,1
刘氏妇,1
葛氏女,1
李主簿姬,1
京兆女子,1
湘驿女子,1
若耶溪女子,1
谁氏女,1
曹文姬,1
刘采春,1
太原妓,1
武昌妓,1
舞柘枝女,1
襄阳妓,1
楚儿,1
王苏苏,1
颜令宾,1
平康妓,1
盛小丛,1
莲花妓,1
韩襄客,1
海印,1
拾得,1
丰干,1
海顺,1
道恭,1
辨才,1
僧凤,1
利涉,1
道会,1
中寤,1
宝月,1
理莹,1
金地藏,1
庞蕴,1
含曦,1
韬光,1
智亮,1
良乂,1
常达,1
文秀,1
耽章,1
云表,1
泠然,1
大愚,1
怀濬,1
恒超,1
净显,1
修雅,1
元寂,1
文益,1
谦光,1
无作,1
清尚,1
昙翼,1
隐求,1
智远,1
尚志,1
玄宝,1
释彪,1
法轮,1
常雅,1
沧浩,1
若水,1
文鉴,1
慈恩寺沙门,1
水心寺僧,1
无名释,1
南唐失名僧,1
吴越僧,1
唐末僧,1
神迥,1
可隆,1
尔鸟,1
元础,1
悟清,1
契盈,1
淡然,1
庭实,1
知业,1
云容,1
玄幽,1
志定,1
灵准,1
荆州僧,1
司马承祯,1
张氲,1
司马退之,1
裴翛然,1
轩辕弥明,1
李升,1
范尧佐,1
吴子来,1
虞有贤,1
彭晓,1
鱼又玄,1
孙思邈,1
叶法善,1
张果,1
成真人,1
申欢,1
李遐周,1
赵惠宗,1
栾清,1
侯道华,1
裴航,1
樊夫人,1
陆禹臣,1
李真,1
吴涵虚,1
段穀,1
赵自然,1
李浩,1
徐钓者,1
蓝采和,1
清远道士,1
春台仙,1
嵩岳诸仙,1
希道,1
隐者,1
广陵道士,1
黄冠野夫,1
蜀酒阁道人,1
章江书生,1
萼岭书生,1
成都醉道士,1
樵夫,1
许大,1
青城丈人,1
太乙真君,1
太白山玄士,1
邻道场人,1
曲龙山仙,1
陈复休,1
郑冠卿,1
陈蓬,1
张云容,1
崔少玄,1
戚逍遥,1
南溟夫人,1
吴清妻,1
慈恩院女仙,1
青童,1
观梅女仙,1
吴彩鸾,1
王氏女,1
毛女正美,1
桃花夫人,1
杨损,1
妙女,1
洞庭龙君,1
龙护老人,1
冥吏,1
水府君,1
李序,1
辅国将军,1
太白山神,1
瀵水神,1
广利王女,1
黄陵美人,1
吴兴神女,1
慕容垂,1
释明解,1
巴峡鬼,1
河湄鬼,1
介胄鬼,1
李叔霁,1
窦裕,1
书生,1
陆凭,1
韩弇,1
尉佗,1
刘溉,1
郑琼罗,1
沈青箱,1
襄阳举人,1
河中鬼,1
萧微,1
张省躬,1
商山三丈夫,1
郑適,1
甘露寺鬼,1
石恪,1
赵z7,1
九华山白衣,1
田达诚宅鬼,1
长安中鬼,1
隔窗鬼,1
巴陵馆鬼,1
徐侃,1
商山客死生,1
冢中人,1
崇圣寺鬼,1
任彦思家鬼,1
峡中白衣,1
张仁宝,1
崔常侍,1
朱均,1
夷陵女郎,1
孔氏,1
临淄县主,1
王氏妇,1
李助,1
王丽真,1
客户里女子,1
密陀僧,1
甄后,1
织绡女,1
萧旷,1
沙碛女子,1
陈宫妃嫔,1
湘中女子,1
安邑坊女,1
韦检亡姬,1
苏检妻,1
苏检,1
宫嫔,1
金车美人,1
魏朋妻,1
刘氏亡妇,1
无名女鬼,1
秾华,1
张守中,1
长须国驸马,1
原陵老翁,1
李微,1
柳藏经,1
铁铫,1
破笛,1
秃帚,1
少年,1
孙长史女,1
李豫,1
邢凤,1
石季武,1
卢献卿,1
刘景复,1
郭仁表,1
国邵南,1
卢绛,1
张生,1
漳郡守,1
白氏,1
张生妻,1
张氏女,1
病狂人,1
周延翰,1
任玠,1
胥偃,1
曾崇范妻,1
李渊,1
省吏,1
选人,1
裴玄智,1
窦昉,1
梁宝,1
释元康,1
李荣,1
石抱忠,1
梁载言,1
陆子,1
杨廷玉,1
中宗朝优人,1
吴人,1
封抱一,1
麹崇裕,1
韦铿,1
邵景,1
石惠泰,1
黄幡绰,1
张怀庆,1
史思明,1
高亭,1
贺遂涉,1
孔颙,1
严震,1
朱泽,1
郑光业,1
孙子多,1
徐彦若,1
崔立言,1
姚嵘,1
李日新,1
柳逢,1
黎瓘,1
陆岩梦,1
李都,1
荆人,1
冯道幕客,1
李花开,1
冯晖,1
杨苎萝,1
郫城令,1
李令,1
太守,1
刘炎,1
甘洽,1
阎敬爱,1
李和风,1
归氏子,1
张鲁封,1
李昼,1
杨鸾,1
座客,1
周颛,1
苏芸,1
包贺,1
蔡押衙,1
商则,1
罗颖,1
陈峤,1
何承裕,1
僧法轨,1
李兼,1
杜兼,1
皇甫大夫,1
萧结,1
王鲁,1
伶人,1
张翱,1
赵武建,1
宋元素,1
张幹,1
李瀚2,1
卢言,1
任要,1
韦洪,1
马乂,1
张绍,1
郑露,1
林披,1
公孙杲,1
李夐,1
畅甫,1
吴士矩,1
吴黔,1
崔融2,1
钱信,1
胡传美,1
许宏,1
路应,1
李缜,1
戴公怀,1
孟翔,1
崔耿,1
宇文鼎,1
郭密之,1
扈载,1
薛光谦,1
尉迟汾,1
马令,1
清豁,1
裴谈,1
窦弘馀,1
康骈,1
崔怀宝,1
郑符,1
张曙2,1
钟辐,1
欧阳彬2,1
庾传素,1
刘侍读,1
许岷,1
林楚翘,1
杨贵妃,1
闽后陈氏,1
王丽真女郎,1
耿玉真,1
惠文太子,1
元兢,1
马总,1
胡伯崇,1
高鹤林,1
朱千乘,1
清观,1
陈闰,1
李堪,1
金立之,1
金可纪,1
苏替,1
贺兰暹,1
傅温,1
曹戵,1
陈素风,1
唐枢,1
温达,1
卢条,1
崔行检,1
陈上卿,1
王幹,1
樊寔,1
张殷衡,1
殷穆,1
解叔禄,1
石严,1
张野人,1
卫填,1
虞构,1
崔幢,1
李淮,1
金云卿,1
杨郁伯,1
李伯良,1
林逢,1
长孙镒,1
戴寥,1
豆卢岑,1
沈宁,1
李许,1
顾效古,1
卢邕,1
李潭,1
郑明,1
王有初,1
周存孺,1
张牙,1
郑师冉,1
章嶰,1
崔建,1
朴昂,1
郢展,1
韦振,1
汉皓,1
道彦,1
冀金,1
子泰,1
绍伯,1
郁回,1
季方,1
李侍御,1
陆侍御,1
卢秀才,1
真元,1
真幹,1
久则,1
去奢,1
良人,1
宋休,1
清闲,1
灵业,1
大闲,1
奉蚌,1
