item,freq
张夫人,6
张窈窕,6
义净,6
归仁,6
可朋,6
慕幽,6
许坚2,6
蜀宫群仙,6
李贞白,6
李璟,5
段文昌,5
张易之,5
郭元振,5
袁朗,5
李嶷,5
陆长源,5
庾抱,5
刘祎之,5
徐晶,5
李泌,5
许景先,5
蔡希寂,5
王泠然,5
崔兴宗,5
徐九皋,5
阎宽,5
于邵,5
沈千运,5
吕渭,5
崔备,5
徐敞,5
张聿,5
李正封,5
郑澣,5
李程,5
杨嗣复,5
沈传师,5
周匡物,5
张萧远,5
袁不约,5
杨乘,5
赵璜,5
祝元膺,5
郑綮,5
欧阳玭,5
公乘亿,5
卢汝弼,5
杨凝式,5
黄损,5
韩熙载,5
潘佑,5
廖匡图,5
徐锴,5
许坚1,5
汤悦,5
吴越人,5
晁采,5
姚月华,5
梁琼,5
赵鸾鸾,5
慧净,5
隐峦,5
云台峰女仙,5
陈季卿,5
权龙褒,5
文丙,5
鲍君徽,4
韩休,4
郭子仪,4
李回,4
员半千,4
许孟容,4
崔邠,4
赵光逢,4
纪唐夫,4
王偃,4
辛弘智,4
张纮,4
韦渠牟,4
岑文本,4
陆敬,4
刘允济,4
韩仲宣,4
高瑾,4
崔泰之,4
魏知古,4
王琚,4
李迥秀,4
赵彦伯,4
源乾曜,4
裴漼,4
韦述,4
刘庭琦,4
张嘉贞,4
席豫,4
沈如筠,4
李邕,4
万齐融,4
蒋维翰,4
孙昌胤,4
张鼎,4
冯著,4
蒋涣,4
元季川,4
陆贽,4
王烈,4
奚贾,4
谢良辅,4
刘迥,4
皇甫澈,4
李吉甫,4
李观,4
李绛,4
姚康,4
马异,4
周元范,4
裴次元,4
苏郁,4
李渤,4
柳公权,4
何希尧,4
柳棠,4
杨收,4
王铎,4
李玖,4
莫宣卿,4
郑愚,4
袁郊,4
萧遘,4
袁皓,4
郑仁表,4
郑璧,4
罗虬,4
温宪,4
孙偓,4
路德延,4
胡令能,4
孙棨,4
张为,4
刘斌,4
罗绍威,4
宋齐丘,4
廖凝,4
李家明,4
翁宏,4
刘乙,4
胡玢,4
狄焕,4
杨希道,4
郑鏦,4
纥干著,4
周濆,4
马逢,4
吉师老,4
姚揆,4
易思,4
贾彦璋,4
韩常侍,4
赵氏2,4
薛馧,4
张文姬,4
步非烟,4
孟氏,4
崔萱,4
崔仲容,4
慧宣,4
善生,4
卿云,4
马湘,4
张辞,4
沈廷瑞,4
卓英英,4
张元一,4
李存勖,4
鹿虔扆,4
李亨,3
钱镠,3
卢从愿,3
蔡孚,3
卢怀慎,3
刘晏,3
郑馀庆,3
萧仿,3
冯伉,3
贾驰,3
郑渥,3
东方虬,3
朱光弼,3
杜頠,3
齐浣,3
张若虚,3
李希仲,3
贺兰进明,3
常理,3
李景伯,3
卢贞,3
谢偃,3
长孙无忌,3
杜淹,3
崔善为,3
欧阳询,3
元万顷,3
陈元光,3
崔知贤,3
陈嘉言,3
张敬忠,3
张昌宗,3
乔备,3
尹懋,3
李崇嗣,3
韦安石,3
李元纮,3
王丘,3
周瑀,3
孙处玄,3
徐延寿,3
李憕,3
杨浚,3
李昂2,3
李林甫,3
陈希烈,3
宋昱,3
崔翘,3
陆海,3
沈宇,3
张万顷,3
楼颖,3
刘太真,3
褚朝阳,3
毕耀,3
赵徵明,3
任华,3
韩滉,3
韦夏卿,3
崔膺,3
冯宿,3
张众甫,3
丁泽,3
王表,3
何兆,3
陆羽,3
郑常,3
窦参,3
韦皋,3
崔子向,3
